algorithm,seed,episode,reward
iql,123,34,291.339
iql,123,35,404.1962
iql,123,36,296.132
iql,123,37,228.5964
iql,123,38,285.0791
iql,123,39,266.3867
iql,123,40,279.5923
iql,123,41,282.5956
iql,123,42,264.4425
iql,123,43,297.4478
iql,123,44,276.6104
iql,123,45,270.2607
iql,123,46,292.4439
iql,123,47,273.7417
iql,123,48,260.2706
iql,123,49,266.5386
iql,123,50,283.4134
iql,123,51,287.1392
iql,123,52,348.4557
iql,123,53,429.5998
iql,123,54,328.9818
iql,123,55,246.8087
iql,123,56,315.9464
iql,123,57,304.5388
iql,123,58,320.825
iql,123,59,351.5334
iql,123,60,338.3683
iql,123,61,339.9645
iql,123,62,341.9373
iql,123,63,318.7858
iql,123,64,206.401
iql,123,65,287.108
iql,123,66,339.9118
iql,123,67,234.8767
iql,123,68,230.4257
iql,123,69,265.0177
iql,123,70,266.0412
iql,123,71,252.9134
iql,123,72,172.8974
iql,123,73,212.0557
iql,123,74,171.7859
iql,123,75,195.5458
iql,123,76,157.3613
iql,123,77,207.1223
iql,123,78,323.0082
iql,123,79,196.4099
iql,123,80,191.2248
iql,123,81,165.7901
iql,123,82,147.4453
iql,123,83,141.8768
iql,123,84,220.9704
iql,123,85,200.3353
iql,123,86,153.5594
iql,123,87,138.8853
iql,123,88,128.8647
iql,123,89,160.4374
iql,123,90,144.922
iql,123,91,158.6663
iql,123,92,149.6978
iql,123,93,98.5534
iql,123,94,163.7979
iql,123,95,143.4856
iql,123,96,182.3296
iql,123,97,212.7158
iql,123,98,187.2242
iql,123,99,207.0111
iql,123,100,198.424
iql,123,101,192.1106
iql,123,102,201.1681
iql,123,103,368.1918
iql,123,104,40.0117
iql,123,105,-89.5549
iql,123,106,-71.4124
iql,123,107,182.214
iql,123,108,176.8177
iql,123,109,177.5202
iql,123,110,177.3345
iql,123,111,172.5337
iql,123,112,165.2328
iql,123,113,177.7961
iql,123,114,138.9608
iql,123,115,155.2638
iql,123,116,185.6439
iql,123,117,157.7702
iql,123,118,138.8959
iql,123,119,144.9121
iql,123,120,123.9809
iql,123,121,116.7447
iql,123,122,138.5641
iql,123,123,142.1785
iql,123,124,116.5847
iql,123,125,160.6454
iql,123,126,76.5571
iql,123,127,123.1313
iql,123,128,140.5484
iql,123,129,149.5234
iql,123,130,162.9392
iql,123,131,185.6825
iql,123,132,185.6838
iql,123,133,216.5315
iql,123,134,198.1917
iql,123,135,153.9717
iql,123,136,158.8597
iql,123,137,153.1222
iql,123,138,185.5594
iql,123,139,179.6266
iql,123,140,156.022
iql,123,141,152.571
iql,123,142,165.7894
iql,123,143,185.9599
iql,123,144,180.7732
iql,123,145,182.6324
iql,123,146,175.3233
iql,123,147,164.3493
iql,123,148,142.5725
iql,123,149,150.3179
iql,123,150,152.2089
iql,123,151,173.5287
iql,123,152,168.2989
iql,123,153,173.407
iql,123,154,410.9777
iql,123,155,418.6691
iql,123,156,207.4885
iql,123,157,222.9785
iql,123,158,353.929
iql,123,159,240.7883
iql,123,160,379.0243
iql,123,161,210.2864
iql,123,162,200.6414
iql,123,163,195.717
iql,123,164,192.9158
iql,123,165,184.9069
iql,123,166,208.5553
iql,123,167,204.7779
iql,123,168,364.2702
iql,123,169,133.427
iql,123,170,111.5702
iql,123,171,126.4012
iql,123,172,328.2726
iql,123,173,247.2102
iql,123,174,385.5998
iql,123,175,262.8345
iql,123,176,134.8604
iql,123,177,379.9355
iql,123,178,356.1156
iql,123,179,355.2649
iql,123,180,422.2865
iql,123,181,177.4211
iql,123,182,385.1807
iql,123,183,182.1713
iql,123,184,377.7017
iql,123,185,338.1552
iql,123,186,353.4023
iql,123,187,157.4144
iql,123,188,123.3736
iql,123,189,176.6782
iql,123,190,346.627
iql,123,191,333.3559
iql,123,192,171.289
iql,123,193,366.6577
iql,123,194,370.1743
iql,123,195,386.1742
iql,123,196,157.708
iql,123,197,387.3822
iql,123,198,237.1037
iql,123,199,441.7193
iql,123,200,404.3871
iql,999,1,-550.1493
iql,999,2,45.3452
iql,999,3,179.3035
iql,999,4,140.1036
iql,999,5,221.8881
iql,999,6,185.8762
iql,999,7,357.8156
iql,999,8,392.3599
iql,999,9,389.8347
iql,999,10,398.0632
iql,999,11,385.3692
iql,999,12,379.5811
iql,999,13,386.0964
iql,999,14,362.4603
iql,999,15,372.8631
iql,999,16,368.8605
iql,999,17,389.3302
iql,999,18,390.7007
iql,999,19,396.525
iql,999,20,375.0891
iql,999,21,391.2089
iql,999,22,374.486
iql,999,23,317.6374
iql,999,24,366.641
iql,999,25,375.7704
iql,999,26,376.0262
iql,999,27,385.1841
iql,999,28,385.7712
iql,999,29,341.707
iql,999,30,326.6929
iql,999,31,393.5948
iql,999,32,369.505
iql,999,33,199.9645
iql,999,34,378.7104
iql,999,35,381.0625
iql,999,36,359.604
iql,999,37,351.9034
iql,999,38,375.7742
iql,999,39,373.2283
iql,999,40,386.9901
iql,999,41,375.7957
iql,999,42,386.6838
iql,999,43,410.6425
iql,999,44,377.3369
iql,999,45,187.2998
iql,999,46,301.7574
iql,999,47,248.8334
iql,999,48,376.2519
iql,999,49,255.6831
iql,999,50,248.1433
iql,999,51,380.9319
iql,999,52,282.562
iql,999,53,299.8551
iql,999,54,282.3927
iql,999,55,293.5218
iql,999,56,304.3117
iql,999,57,295.1458
iql,999,58,230.5275
iql,999,59,209.1676
iql,999,60,211.4556
iql,999,61,220.3796
iql,999,62,221.5764
iql,999,63,202.8264
iql,999,64,218.3697
iql,999,65,159.8316
iql,999,66,217.6706
iql,999,67,199.2914
iql,999,68,187.7233
iql,999,69,205.1486
iql,999,70,197.8451
iql,999,71,199.8713
iql,999,72,185.883
iql,999,73,223.588
iql,999,74,214.7005
iql,999,75,224.2862
iql,999,76,147.7616
iql,999,77,184.111
iql,999,78,179.3592
iql,999,79,212.5655
iql,999,80,207.0934
iql,999,81,203.6303
iql,999,82,167.3447
iql,999,83,165.2656
iql,999,84,179.2995
iql,999,85,159.9509
iql,999,86,245.926
iql,999,87,134.5556
iql,999,88,196.6304
iql,999,89,154.8907
iql,999,90,139.7699
iql,999,91,170.466
iql,999,92,147.0662
iql,999,93,95.1439
iql,999,94,162.9365
iql,999,95,200.3008
iql,999,96,178.6149
iql,999,97,207.5209
iql,999,98,183.7069
iql,999,99,114.0924
iql,999,100,190.7694
iql,999,101,42.6933
iql,999,102,202.379
iql,999,103,190.5058
iql,999,104,170.8171
iql,999,105,191.0989
iql,999,106,187.6356
iql,999,107,178.8048
iql,999,108,186.2161
iql,999,109,177.7136
iql,999,110,179.1389
iql,999,111,151.8923
iql,999,112,148.4956
iql,999,113,144.4388
iql,999,114,152.441
iql,999,115,374.9013
iql,999,116,388.7706
iql,999,117,169.2029
iql,999,118,137.0145
iql,999,119,152.6521
iql,999,120,323.0386
iql,999,121,124.0771
iql,999,122,135.4388
iql,999,123,133.0091
iql,999,124,116.622
iql,999,125,360.6454
iql,999,126,73.5064
iql,999,127,131.4148
iql,999,128,143.7788
iql,999,129,153.6048
iql,999,130,165.0
iql,999,131,385.8299
iql,999,132,395.9105
iql,999,133,230.6848
iql,999,134,209.3809
iql,999,135,180.0238
iql,999,136,351.6184
iql,999,137,153.8995
iql,999,138,389.03
iql,999,139,177.1738
iql,999,140,362.2284
iql,999,141,136.2526
iql,999,142,168.8357
iql,999,143,187.1519
iql,999,144,193.2381
iql,999,145,184.287
iql,999,146,171.278
iql,999,147,168.9346
iql,999,148,161.7893
iql,999,149,150.6666
iql,999,150,163.6982
iql,999,151,173.382
iql,999,152,171.5918
iql,999,153,168.7065
iql,999,154,188.3124
iql,999,155,224.7132
iql,999,156,196.5685
iql,999,157,224.3168
iql,999,158,199.7005
iql,999,159,241.5976
iql,999,160,217.722
iql,999,161,398.0993
iql,999,162,405.6414
iql,999,163,194.5757
iql,999,164,187.5748
iql,999,165,185.4776
iql,999,166,208.8284
iql,999,167,208.4006
iql,999,168,160.4566
iql,999,169,132.6799
iql,999,170,111.5702
iql,999,171,126.7959
iql,999,172,153.9326
iql,999,173,181.852
iql,999,174,173.2838
iql,999,175,343.1525
iql,999,176,139.93
iql,999,177,176.6126
iql,999,178,364.0298
iql,999,179,148.4449
iql,999,180,186.6241
iql,999,181,177.0436
iql,999,182,370.7496
iql,999,183,184.6347
iql,999,184,151.8477
iql,999,185,141.1814
